strategy_id,entry_time,exit_time,direction,entry_price,exit_price,size,pnl,return_pct,exit_reason
A,2025-12-18T09:00:00+00:00,2025-12-18T10:00:00+00:00,long,1.17247,1.173158,100000,58.67,0.0587,stop_loss
A,2025-12-18T11:00:00+00:00,2025-12-18T12:00:00+00:00,long,1.17247,1.173158,100000,58.67,0.0587,stop_loss
A,2025-12-18T13:00:00+00:00,2025-12-18T15:00:00+00:00,long,1.175088,1.173158,100000,-164.24,-0.1642,stop_loss
A,2025-12-19T14:00:00+00:00,2025-12-19T16:00:00+00:00,long,1.17302,1.172333,100000,-58.61,-0.0586,session_filter
A,2025-12-22T13:00:00+00:00,2025-12-22T16:00:00+00:00,long,1.175364,1.175364,100000,0.0,0.0,session_filter
A,2025-12-23T09:00:00+00:00,2025-12-23T13:00:00+00:00,long,1.179523,1.177995,100000,-129.59,-0.1296,stop_loss
A,2025-12-23T14:00:00+00:00,2025-12-23T15:00:00+00:00,long,1.177163,1.177995,100000,70.68,0.0707,stop_loss
A,2025-12-26T12:00:00+00:00,2025-12-26T16:00:00+00:00,long,1.17855,1.176886,100000,-141.22,-0.1412,session_filter
A,2025-12-29T10:00:00+00:00,2025-12-29T11:00:00+00:00,long,1.177024,1.177579,100000,47.11,0.0471,stop_loss
A,2025-12-29T12:00:00+00:00,2025-12-29T13:00:00+00:00,long,1.176471,1.177579,100000,94.21,0.0942,stop_loss
A,2025-12-30T12:00:00+00:00,2025-12-30T13:00:00+00:00,long,1.176471,1.177024,100000,47.09,0.0471,stop_loss
A,2025-12-30T15:00:00+00:00,2025-12-30T16:00:00+00:00,long,1.176332,1.176886,100000,47.07,0.0471,session_filter
A,2026-01-01T10:00:00+00:00,2026-01-01T22:00:00+00:00,long,1.17495,1.175364,100000,35.27,0.0353,session_filter
A,2026-01-02T15:00:00+00:00,2026-01-02T16:00:00+00:00,long,1.175364,1.174122,100000,-105.67,-0.1057,session_filter
A,2026-01-05T12:00:00+00:00,2026-01-05T13:00:00+00:00,long,1.167406,1.168497,100000,93.48,0.0935,stop_loss
A,2026-01-05T15:00:00+00:00,2026-01-05T16:00:00+00:00,long,1.170686,1.171783,100000,93.74,0.0937,session_filter
A,2026-01-06T09:00:00+00:00,2026-01-06T10:00:00+00:00,long,1.171783,1.17302,100000,105.57,0.1056,stop_loss
A,2026-01-06T11:00:00+00:00,2026-01-06T12:00:00+00:00,long,1.17096,1.17302,100000,175.95,0.1759,stop_loss
A,2026-01-06T13:00:00+00:00,2026-01-06T14:00:00+00:00,long,1.171509,1.17302,100000,129.03,0.129,stop_loss
A,2026-01-06T15:00:00+00:00,2026-01-06T16:00:00+00:00,long,1.169864,1.16918,100000,-58.46,-0.0585,session_filter
A,2026-01-08T13:00:00+00:00,2026-01-08T14:00:00+00:00,long,1.166589,1.16727,100000,58.36,0.0584,stop_loss
A,2026-01-09T14:00:00+00:00,2026-01-09T15:00:00+00:00,long,1.164009,1.164551,100000,46.59,0.0466,stop_loss
A,2026-01-13T15:00:00+00:00,2026-01-13T16:00:00+00:00,long,1.165365,1.164958,100000,-34.94,-0.0349,session_filter
A,2026-01-15T12:00:00+00:00,2026-01-15T13:00:00+00:00,long,1.16252,1.163061,100000,46.52,0.0465,stop_loss
A,2026-01-15T14:00:00+00:00,2026-01-15T15:00:00+00:00,long,1.160362,1.163061,100000,232.62,0.2326,stop_loss
A,2026-01-16T11:00:00+00:00,2026-01-16T15:00:00+00:00,long,1.16225,1.16117,100000,-92.89,-0.0929,stop_loss
A,2026-01-19T14:00:00+00:00,2026-01-19T16:00:00+00:00,long,1.164415,1.164551,100000,11.65,0.0117,session_filter
A,2026-01-20T10:00:00+00:00,2026-01-20T16:00:00+00:00,long,1.173434,1.17426,100000,70.45,0.0705,session_filter
A,2026-01-22T11:00:00+00:00,2026-01-22T15:00:00+00:00,long,1.170686,1.173559,100000,245.44,0.2454,take_profit
A,2026-01-23T15:00:00+00:00,2026-01-23T16:00:00+00:00,long,1.176194,1.17744,100000,105.96,0.106,session_filter
A,2026-01-26T09:00:00+00:00,2026-01-26T13:00:00+00:00,long,1.186803,1.184273,100000,-213.17,-0.2132,stop_loss
A,2026-01-26T14:00:00+00:00,2026-01-26T16:00:00+00:00,long,1.188354,1.188919,100000,47.56,0.0476,session_filter
A,2026-01-27T09:00:00+00:00,2026-01-27T14:00:00+00:00,long,1.189202,1.194701,100000,462.37,0.4624,take_profit
A,2026-01-27T15:00:00+00:00,2026-01-27T16:00:00+00:00,long,1.195314,1.198322,100000,251.64,0.2516,session_filter
A,2026-01-29T09:00:00+00:00,2026-01-29T10:00:00+00:00,long,1.195886,1.196602,100000,59.83,0.0598,stop_loss
A,2026-01-29T11:00:00+00:00,2026-01-29T12:00:00+00:00,long,1.195171,1.196602,100000,119.66,0.1197,stop_loss
A,2026-01-29T13:00:00+00:00,2026-01-29T14:00:00+00:00,long,1.195886,1.196602,100000,59.83,0.0598,stop_loss
A,2026-01-29T15:00:00+00:00,2026-01-29T16:00:00+00:00,long,1.193317,1.1946,100000,107.51,0.1075,session_filter
A,2026-01-30T09:00:00+00:00,2026-01-30T10:00:00+00:00,long,1.191185,1.192748,100000,131.2,0.1312,stop_loss
A,2026-01-30T11:00:00+00:00,2026-01-30T12:00:00+00:00,long,1.195314,1.192748,100000,-214.7,-0.2147,stop_loss
A,2026-01-30T13:00:00+00:00,2026-01-30T14:00:00+00:00,long,1.191611,1.192748,100000,95.42,0.0954,stop_loss
A,2026-01-30T15:00:00+00:00,2026-01-30T16:00:00+00:00,long,1.18991,1.188919,100000,-83.22,-0.0832,session_filter
A,2026-02-02T13:00:00+00:00,2026-02-02T14:00:00+00:00,long,1.182452,1.184834,100000,201.43,0.2014,stop_loss
A,2026-02-02T15:00:00+00:00,2026-02-02T16:00:00+00:00,long,1.179663,1.180916,100000,106.28,0.1063,session_filter
A,2026-02-03T09:00:00+00:00,2026-02-03T10:00:00+00:00,long,1.179663,1.180777,100000,94.47,0.0945,stop_loss
A,2026-02-03T11:00:00+00:00,2026-02-03T12:00:00+00:00,long,1.179245,1.180777,100000,129.88,0.1299,stop_loss
A,2026-02-03T13:00:00+00:00,2026-02-03T14:00:00+00:00,long,1.179941,1.180777,100000,70.85,0.0709,stop_loss
A,2026-02-05T09:00:00+00:00,2026-02-05T10:00:00+00:00,long,1.178411,1.179941,100000,129.79,0.1298,stop_loss
A,2026-02-05T13:00:00+00:00,2026-02-05T15:00:00+00:00,long,1.181754,1.179941,100000,-153.4,-0.1534,stop_loss
A,2026-02-06T13:00:00+00:00,2026-02-06T16:00:00+00:00,long,1.181335,1.181474,100000,11.81,0.0118,session_filter
A,2026-02-09T12:00:00+00:00,2026-02-09T16:00:00+00:00,long,1.188495,1.190051,100000,130.92,0.1309,session_filter
A,2026-02-10T12:00:00+00:00,2026-02-10T13:00:00+00:00,long,1.189626,1.190618,100000,83.34,0.0833,stop_loss
A,2026-02-12T09:00:00+00:00,2026-02-12T12:00:00+00:00,long,1.188919,1.187507,100000,-118.76,-0.1188,stop_loss
A,2026-02-12T15:00:00+00:00,2026-02-12T16:00:00+00:00,long,1.189061,1.187085,100000,-166.18,-0.1662,session_filter
A,2026-02-13T13:00:00+00:00,2026-02-13T15:00:00+00:00,long,1.18779,1.185958,100000,-154.18,-0.1542,stop_loss
A,2026-02-16T12:00:00+00:00,2026-02-16T13:00:00+00:00,long,1.185536,1.186099,100000,47.45,0.0475,stop_loss
A,2026-02-17T13:00:00+00:00,2026-02-17T14:00:00+00:00,long,1.182452,1.183432,100000,82.84,0.0828,stop_loss
A,2026-02-17T15:00:00+00:00,2026-02-17T16:00:00+00:00,long,1.181474,1.183432,100000,165.68,0.1657,session_filter
A,2026-02-19T10:00:00+00:00,2026-02-19T11:00:00+00:00,long,1.179106,1.18008,100000,82.6,0.0826,stop_loss
A,2026-02-19T12:00:00+00:00,2026-02-19T13:00:00+00:00,long,1.177163,1.18008,100000,247.81,0.2478,stop_loss
A,2026-02-19T14:00:00+00:00,2026-02-19T15:00:00+00:00,long,1.175364,1.18008,100000,401.22,0.4012,stop_loss
A,2026-02-20T15:00:00+00:00,2026-02-20T16:00:00+00:00,long,1.178967,1.178273,100000,-58.91,-0.0589,session_filter
A,2026-02-23T09:00:00+00:00,2026-02-23T10:00:00+00:00,long,1.180498,1.181056,100000,47.25,0.0472,stop_loss
A,2026-02-23T11:00:00+00:00,2026-02-23T12:00:00+00:00,long,1.178967,1.181056,100000,177.16,0.1772,stop_loss
A,2026-02-23T13:00:00+00:00,2026-02-23T14:00:00+00:00,long,1.179941,1.181056,100000,94.49,0.0945,stop_loss
A,2026-02-23T15:00:00+00:00,2026-02-23T16:00:00+00:00,long,1.179802,1.180498,100000,59.02,0.059,session_filter
A,2026-02-27T09:00:00+00:00,2026-02-27T10:00:00+00:00,long,1.179802,1.181195,100000,118.12,0.1181,stop_loss
A,2026-02-27T11:00:00+00:00,2026-02-27T12:00:00+00:00,long,1.180359,1.181195,100000,70.87,0.0709,stop_loss
A,2026-02-27T13:00:00+00:00,2026-02-27T14:00:00+00:00,long,1.179802,1.181195,100000,118.12,0.1181,stop_loss
A,2026-03-02T09:00:00+00:00,2026-03-02T13:00:00+00:00,long,1.173709,1.170138,100000,-304.24,-0.3042,stop_loss
A,2026-03-02T15:00:00+00:00,2026-03-02T16:00:00+00:00,long,1.168361,1.169591,100000,105.26,0.1053,session_filter
